"CUSTOMER_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","LTV","LTV_BIN"
"CU5916","LEZLIE","PEDERSEN","NY","NorthEast","F","Software Engineer","No",44,1,65190,2,1,1,2,"MARRIED",22697.5,"HIGH"
"CU3229","USHA","BEAULIEU","MN","West","F","IT Staff","No",37,1,57638,1,1,1,1,"MARRIED",21609.5,"MEDIUM"
"CU10180","GARTH","PICKENS","MN","West","M","Nurse","No",18,0,63053,3,1,1,3,"SINGLE",23063.25,"HIGH"
"CU10989","FRED","COYLE","NY","NorthEast","M","PROF-1","No",31,0,65007,1,1,1,1,"SINGLE",27851.75,"HIGH"
"CU8662","TAMMIE","FIGUEROA","NY","NorthEast","F","Homemaker","No",31,1,66889,1,1,1,4,"DIVORCED",24822.25,"HIGH"
"CU1371","ROBIN","HOGUE","NY","NorthEast","M","PROF-5","No",31,0,61758,3,1,0,3,"SINGLE",14039.5,"MEDIUM"
"CU6818","ANDERSON","GORMAN","CA","West","M","PROF-32","No",46,0,61703,1,1,1,1,"MARRIED",28525.75,"HIGH"
"CU12217","SYDNEY","LANDERS","CA","West","M","DBA","No",34,0,65080,1,1,1,1,"MARRIED",28170,"HIGH"
"CU10228","MATT","BAGLEY","NY","NorthEast","M","PROF-33","No",27,0,59135,3,1,1,3,"MARRIED",22983.75,"HIGH"
"CU5589","SAMIRA","CHIN","NC","South","F","Author","No",76,1,62786,6,1,1,4,"MARRIED",18296.5,"MEDIUM"
"CU8819","ISAIAH","FLYNN","NY","NorthEast","M","Programmer/Developer","No",22,0,59513,3,0,0,3,"SINGLE",12578.25,"LOW"
"CU3039","CARLEEN","BENITEZ","NY","NorthEast","F","Homemaker","No",41,1,65586,1,1,1,1,"MARRIED",23996.5,"HIGH"
"CU493","JACQUES","ATWOOD","OH","Midwest","M","Waiter/Waitress","No",49,1,72753,1,1,1,1,"DIVORCED",26588.25,"HIGH"
"CU4923","SYLVESTER","REEDER","CA","West","M","Cashier","No",38,0,62801,0,1,0,2,"SINGLE",20500.25,"MEDIUM"
"CU2410","LAURENCE","BAER","CA","West","F","Cashier","No",49,1,71744,1,1,1,1,"DIVORCED",26336,"HIGH"
"CU740","KANDACE","VICK","CA","West","F","Author","No",72,1,60513,3,1,1,4,"MARRIED",23328.25,"HIGH"
"CU3093","DOUGLAS","PHIPPS","NV","Southwest","M","PROF-32","No",56,0,61661,0,1,0,2,"SINGLE",22015.25,"HIGH"
"CU9156","MAYNARD","HOGUE","NY","NorthEast","M","PROF-18","No",17,0,66900,0,0,0,2,"SINGLE",19425,"MEDIUM"
"CU1161","DARWIN","SEYMOUR","CA","West","M","PROF-6","No",26,1,63049,0,1,0,4,"SINGLE",15362.25,"MEDIUM"
"CU8633","EMANUEL","SUGGS","CA","West","M","Cashier","No",41,1,60409,3,1,1,4,"DIVORCED",20202.25,"MEDIUM"
"CU8920","SAMIRA","TRIPLETT","NY","NorthEast","F","Technical Writer","No",30,1,63132,1,1,1,1,"MARRIED",22283,"HIGH"
"CU513","JARRETT","BAIRD","WA","West","M","Cashier","No",51,0,71120,3,1,1,4,"DIVORCED",28880,"HIGH"
"CU15745","MISTI","SPRAGUE","CA","West","F","PROF-46","No",38,0,74542,1,1,0,1,"SINGLE",20935.5,"MEDIUM"
"CU3976","LENARD","KELLY","MN","West","M","PROF-29","No",43,0,61165,4,1,2,4,"MARRIED",33591.25,"VERY HIGH"
"CU5206","ARLETTE","FRANKLIN","MI","Midwest","F","PROF-6","No",28,1,58142,5,1,2,5,"DIVORCED",24835.5,"HIGH"
"CU12026","RUBI","FITZPATRICK","MI","Midwest","F","Fireman","No",33,1,73569,5,1,1,5,"MARRIED",19192.25,"MEDIUM"
"CU14493","VICENTE","ZAPATA","FL","South","M","Programmer/Developer","No",22,0,57313,3,0,0,3,"SINGLE",12028.25,"LOW"
"CU10208","PABLO","BENJAMIN","CA","West","M","Programmer/Developer","No",25,0,62105,3,1,0,3,"SINGLE",13526.25,"LOW"
"CU4102","ALFONZO","VILLANUEVA","MI","Midwest","M","PROF-25","No",31,1,66417,4,1,1,4,"MARRIED",18704.25,"MEDIUM"
"CU1202","ROLLAND","SHEA","NY","NorthEast","M","Veterinarian","No",38,1,55182,0,1,1,4,"MARRIED",24595.5,"HIGH"
"CU8212","LAWERENCE","ESPINOZA","NY","NorthEast","M","Programmer/Developer","No",23,0,58283,3,0,0,3,"SINGLE",12370.75,"LOW"
"CU4090","RICH","HANCOCK","CA","West","M","Waiter/Waitress","No",0,0,62089,0,1,1,2,"MARRIED",0,"LOW"
"CU2870","JERROD","BECKER","UT","Southwest","M","Bank Teller","No",50,1,60129,1,1,1,1,"DIVORCED",23532.25,"HIGH"
"CU13042","PIEDAD","JONES","NY","NorthEast","F","IT Staff","No",42,1,72173,1,1,1,1,"MARRIED",25743.25,"HIGH"
"CU15084","ELIJAH","VANG","NY","NorthEast","M","PROF-44","No",27,0,71832,3,1,1,3,"SINGLE",26158,"HIGH"
"CU3913","LLOYD","SEXTON","CA","West","M","Fireman","No",43,1,63643,0,1,0,2,"SINGLE",16210.75,"MEDIUM"
"CU6304","CASEY","NEWTON","MI","Midwest","M","IT Staff","No",42,1,62358,0,1,0,2,"SINGLE",15789.5,"MEDIUM"
"CU726","LUISA","HUNT","NY","NorthEast","F","IT Staff","No",69,1,88555,1,1,1,1,"OTHER",32538.75,"VERY HIGH"
"CU1427","GERALD","SOSA","CA","West","M","Truck Driver","No",60,0,63088,3,1,0,3,"SINGLE",17272,"MEDIUM"
"CU848","ANTONINA","BONILLA","CA","West","F","Publisher","No",54,0,66390,1,1,1,1,"WIDOWED",30497.5,"VERY HIGH"
"CU12406","BURL","PARRIS","NY","NorthEast","M","Sales Representative","No",20,0,64895,3,1,1,3,"MARRIED",23723.75,"HIGH"
"CU15015","RANDOLPH","MCMANUS","NY","NorthEast","M","PROF-18","No",39,0,56610,2,1,1,2,"DIVORCED",25052.5,"HIGH"
"CU9590","WILBER","EMERY","NY","NorthEast","M","PROF-17","No",24,1,71649,3,1,0,3,"SINGLE",10812.25,"LOW"
"CU2507","RUSTY","HILLMAN","CA","West","M","Administrative Assistant","No",0,0,67082,0,1,0,2,"SINGLE",0,"LOW"
"CU13551","BRANDON","FOSS","FL","South","M","Programmer/Developer","No",21,0,71809,3,0,0,3,"SINGLE",15552.25,"MEDIUM"
"CU7788","BRYAN","GARCIA","MI","Midwest","M","PROF-12","No",22,0,64703,3,1,1,3,"SINGLE",23875.75,"HIGH"
"CU12361","OMER","STOCKTON","MI","Midwest","M","Bank Teller","No",62,1,64441,3,1,1,3,"MARRIED",22810.25,"HIGH"
"CU10508","LEANDRO","ALONSO","FL","South","M","Clerical","No",62,0,64900,4,1,1,4,"MARRIED",26425,"HIGH"
"CU14309","ALONSO","MCDERMOTT","OH","Midwest","M","PROF-6","No",19,0,61500,3,1,1,3,"MARRIED",22775,"HIGH"
"CU5679","LUPE","FARRELL","CA","West","M","Professor","No",61,1,60946,0,1,0,2,"SINGLE",17336.5,"MEDIUM"
"CU15979","RAY","SNODGRASS","UT","Southwest","M","Mason","No",19,0,59864,3,1,1,3,"MARRIED",22366,"HIGH"
"CU12527","MIRNA","WAITE","NY","NorthEast","F","IT Staff","No",39,1,64553,1,1,1,1,"DIVORCED",23538.25,"HIGH"
"CU1140","ANDY","COOK","CA","West","M","PROF-18","No",27,0,65736,1,1,0,1,"SINGLE",17634,"MEDIUM"
"CU6871","KATHYRN","PICKETT","CA","West","F","Author","No",61,1,56137,3,1,1,4,"MARRIED",21134.25,"MEDIUM"
"CU3070","ROBERTO","PATTEN","WA","West","M","Truck Driver","No",33,1,61789,0,1,1,2,"DIVORCED",24747.25,"HIGH"
"CU2941","VAL","HACKETT","CA","West","M","IT Staff","No",63,0,59461,0,1,0,2,"SINGLE",22165.25,"HIGH"
"CU11032","ELVIS","HULL","MN","West","M","Software Engineer","No",31,1,62658,4,1,0,4,"DIVORCED",7764.5,"LOW"
"CU3996","SEAN","DOWNING","CA","West","M","Bank Teller","No",42,1,57616,0,1,1,2,"MARRIED",24604,"HIGH"
"CU3065","RISA","TUCKER","NY","NorthEast","F","PROF-1","No",53,1,66372,1,1,1,1,"DIVORCED",25393,"HIGH"
"CU15033","MARC","HARRIS","WI","Midwest","M","Programmer/Developer","No",19,1,57064,3,1,0,3,"SINGLE",6666,"LOW"
"CU11319","ANDREW","DUFFY","CA","West","M","PROF-18","No",20,0,75031,3,0,0,3,"SINGLE",16257.75,"MEDIUM"
"CU15694","SHAY","FARRELL","NY","NorthEast","F","PROF-1","No",32,1,60073,4,1,1,4,"DIVORCED",17218.25,"MEDIUM"
"CU14045","GENNY","VALENZUELA","CA","West","F","Truck Driver","No",50,0,71214,1,1,1,1,"MARRIED",31303.5,"VERY HIGH"
"CU2088","DOMENIC","MIXON","NY","NorthEast","M","PROF-57","No",27,0,61807,0,1,0,2,"SINGLE",19151.75,"MEDIUM"
"CU14690","THEA","KELSEY","MI","Midwest","F","Programmer/Developer","No",39,0,63272,5,1,0,5,"SINGLE",12218,"LOW"
"CU3486","LAVETA","ALSTON","CA","West","F","Cashier","No",48,1,70243,1,1,1,1,"DIVORCED",25860.75,"HIGH"
"CU2417","ALEX","BEAL","NY","NorthEast","M","Sales Representative","No",27,0,64964,0,1,0,2,"SINGLE",19941,"MEDIUM"
"CU4125","CLEMENTE","CLOUTIER","OR","West","M","Administrator","No",42,1,68407,1,1,0,1,"SINGLE",14801.75,"MEDIUM"
"CU5600","SANG","DUTTON","MI","Midwest","F","Clerical","No",61,0,94542,2,1,1,2,"WIDOWED",36735.5,"VERY HIGH"
"CU15532","TYLER","BURDICK","NY","NorthEast","M","Homemaker","No",35,0,61148,3,1,1,4,"DIVORCED",24787,"HIGH"
"CU15782","NELLIE","MOHR","CA","West","F","Administrator","No",49,0,86041,1,1,1,1,"DIVORCED",34910.25,"VERY HIGH"
"CU11615","DEMETRICE","PEREZ","NY","NorthEast","F","Programmer/Developer","No",21,1,63248,5,1,1,5,"SINGLE",15412,"MEDIUM"
"CU6097","OMER","YORK","CA","West","M","Author","No",62,0,59990,3,1,0,3,"SINGLE",16697.5,"MEDIUM"
"CU8359","WILLY","BYRNE","NY","NorthEast","M","Technical Writer","No",39,1,56237,3,1,1,3,"DIVORCED",18459.25,"MEDIUM"
"CU5511","ORLANDO","GUNTER","NY","NorthEast","M","IT Staff","No",45,1,76355,1,1,1,1,"DIVORCED",27088.75,"HIGH"
"CU847","EMILIO","SHIPP","NY","NorthEast","M","PROF-61","No",46,1,59581,0,1,0,2,"SINGLE",15495.25,"MEDIUM"
"CU13966","WALLACE","MEREDITH","CA","West","M","Nurse","No",40,0,59743,1,1,1,1,"SINGLE",27435.75,"HIGH"
"CU11048","ARLINE","ALTMAN","NY","NorthEast","F","IT Staff","No",52,1,65179,1,1,1,1,"DIVORCED",24994.75,"HIGH"
"CU12283","COLLEEN","YEAGER","CA","West","F","PROF-21","No",44,1,79782,1,1,1,1,"MARRIED",27845.5,"HIGH"
"CU34","CARMELIA","SIMMONS","MI","Midwest","F","Law Enforcement Officer","No",84,1,61090,1,1,1,1,"WIDOWED",27172.5,"HIGH"
"CU8014","ELLIOTT","MADDOX","CA","West","M","Programmer/Developer","No",21,0,69368,3,1,1,3,"MARRIED",24942,"HIGH"
"CU13411","BOOKER","BEAN","MI","Midwest","M","PROF-22","No",30,0,61659,3,1,1,3,"SINGLE",23914.75,"HIGH"
"CU14768","CORNELIUS","SIMON","FL","South","M","Programmer/Developer","No",31,0,66738,3,0,0,3,"SINGLE",15284.5,"MEDIUM"
"CU9789","LINDSY","VICK","NY","NorthEast","F","PROF-58","No",55,0,65584,1,1,1,4,"WIDOWED",31896,"VERY HIGH"
"CU2144","DOMINGO","STEVENS","NY","NorthEast","M","PROF-24","No",31,0,58490,0,1,0,2,"SINGLE",18722.5,"MEDIUM"
"CU4291","IRVING","LOVETT","FL","South","M","Waiter/Waitress","No",30,1,66079,1,1,2,4,"DIVORCED",34519.75,"VERY HIGH"
"CU2654","HUBERT","COYLE","NY","NorthEast","M","IT Staff","No",61,1,65727,0,1,1,2,"MARRIED",28531.75,"HIGH"
"CU15784","CALVIN","BURTON","NY","NorthEast","M","Clerical","No",42,1,63277,1,1,0,1,"SINGLE",13519.25,"LOW"
"CU654","SHEILAH","COMBS","NV","Southwest","F","Publisher","No",37,1,61816,1,1,1,1,"MARRIED",22654,"HIGH"
"CU12127","MAYBELL","CARTER","TX","Southwest","F","Homemaker","No",29,1,63137,6,1,1,4,"MARRIED",13684.25,"LOW"
"CU2966","BOYD","SHOCKLEY","NY","NorthEast","M","Administrative Assistant","No",21,0,63968,0,1,0,2,"SINGLE",19092,"MEDIUM"
"CU11392","SOL","SCHMIDT","DC","NorthEast","M","Truck Driver","No",23,0,60915,3,1,1,3,"DIVORCED",23028.75,"HIGH"
"CU11983","RENE","CHASTAIN","NY","NorthEast","M","PROF-29","No",18,0,63963,3,1,1,3,"SINGLE",23290.75,"HIGH"
"CU6028","LAVERNA","SCHMITZ","NY","NorthEast","F","IT Staff","No",38,1,58770,3,1,1,4,"DIVORCED",19492.5,"MEDIUM"
"CU13388","LEIF","ARNOLD","MI","Midwest","M","PROF-2","No",70,0,54484,2,1,0,2,"SINGLE",17621,"MEDIUM"
"CU13386","ALVA","VERNON","OK","Midwest","M","PROF-18","No",24,0,57132,3,1,1,3,"DIVORCED",22183,"HIGH"
"CU6607","HECTOR","SUMMERS","MI","Midwest","M","Veterinarian","No",30,1,61221,3,1,1,3,"MARRIED",18805.25,"MEDIUM"
"CU7331","PATRICK","GARRETT","CA","West","M","PROF-46","No",43,0,69099,0,1,0,2,"SINGLE",22574.75,"HIGH"
"CU2624","CAITLYN","LOVE","NY","NorthEast","F","Clerical","No",27,1,68069,5,1,1,5,"MARRIED",17217.25,"MEDIUM"
"CU6389","TOMMIE","RANGEL","CA","West","M","Accountant","No",46,1,62163,0,1,0,2,"SINGLE",16140.75,"MEDIUM"
"CU100","RANDELL","POLLOCK","MI","Midwest","M","Not specified","No",43,1,58365,0,1,1,2,"DIVORCED",24891.25,"HIGH"
"CU8653","BRODERICK","FULTON","NV","Southwest","M","Truck Driver","No",33,1,61753,3,1,1,3,"MARRIED",19238.25,"MEDIUM"
"CU2639","CHARLIE","ENGEL","MI","Midwest","M","Administrative Assistant","No",40,0,62391,0,1,0,2,"SINGLE",20597.75,"MEDIUM"
"CU1330","TERENCE","ELMORE","MI","Midwest","M","Truck Driver","No",53,0,63012,1,1,0,1,"SINGLE",19553,"MEDIUM"
"CU6308","HANNA","WILKINSON","NY","NorthEast","F","PROF-55","No",47,1,109943,3,1,1,4,"MARRIED",33185.75,"VERY HIGH"
"CU15141","LAURYN","WATERMAN","NY","NorthEast","F","Clerical","No",43,0,63642,4,1,1,4,"DIVORCED",24210.5,"HIGH"
"CU15960","GERARDO","SHERRILL","UT","Southwest","M","PROF-28","No",41,0,61708,4,1,1,4,"SINGLE",23527,"HIGH"
"CU2806","ALONSO","GEIGER","MI","Midwest","M","PROF-55","No",45,0,66820,1,1,1,2,"DIVORCED",30205,"VERY HIGH"
"CU7171","RUSS","TOBIN","NY","NorthEast","M","Nurse","No",74,0,68242,1,1,0,1,"SINGLE",22960.5,"HIGH"
"CU11941","MIQUEL","LONDON","NV","Southwest","M","Programmer/Developer","No",27,1,58238,3,1,0,3,"SINGLE",7759.5,"LOW"
"CU165","DUDLEY","GUERRA","CA","West","M","PROF-48","No",32,1,60163,0,1,0,2,"SINGLE",14240.75,"MEDIUM"
"CU8559","VENUS","SCHMIDT","NY","NorthEast","F","Construction Laborer","No",46,0,69353,1,1,1,1,"MARRIED",30438.25,"VERY HIGH"
"CU12595","MATILDA","VELASQUEZ","NY","NorthEast","F","Technical Writer","No",31,1,54661,1,1,1,1,"DIVORCED",20265.25,"MEDIUM"
"CU4385","DOYLE","BREWSTER","CA","West","M","Fireman","No",46,0,63666,1,1,1,1,"SINGLE",29016.5,"HIGH"
"CU5852","MAN","BURKETT","NY","NorthEast","M","Administrative Assistant","No",41,1,59849,0,1,0,2,"SINGLE",15062.25,"MEDIUM"
"CU5859","JAMEL","KIRKPATRICK","MI","Midwest","M","PROF-3","No",24,0,70245,3,1,1,3,"SINGLE",25461.25,"HIGH"
"CU1891","EARL","SYLVESTER","NY","NorthEast","M","PROF-3","No",29,0,68002,0,1,1,2,"DIVORCED",30900.5,"VERY HIGH"
"CU3889","DOLLY","REAVES","MI","Midwest","F","Plumber","No",36,1,66712,1,1,1,1,"DIVORCED",23778,"HIGH"
"CU14108","PHUNG","BURROUGHS","CA","West","F","PROF-15","No",64,0,67145,4,1,1,4,"DIVORCED",27186.25,"HIGH"
"CU6575","DIRK","WAGNER","UT","Southwest","M","Administrator","No",33,0,64793,0,1,1,2,"DIVORCED",30498.25,"VERY HIGH"
"CU5548","HUNTER","DEJESUS","CA","West","M","Childcare Worker","No",29,1,55600,1,1,1,1,"DIVORCED",20300,"MEDIUM"
"CU5632","WILBURN","SHIPMAN","CA","West","M","Mason","No",66,0,67607,2,1,0,2,"SINGLE",20501.75,"MEDIUM"
"CU10961","MARC","CASSIDY","CA","West","M","PROF-5","No",63,0,61228,6,0,0,4,"SINGLE",11607,"LOW"
"CU6522","CLARK","SHIPLEY","NY","NorthEast","M","PROF-62","No",26,1,68811,3,1,1,3,"MARRIED",20302.75,"MEDIUM"
"CU15421","VELVET","BRYSON","NY","NorthEast","F","IT Staff","No",33,1,59923,5,1,1,5,"MARRIED",15780.75,"MEDIUM"
"CU11086","DUSTIN","ROGERS","NY","NorthEast","M","Programmer/Developer","No",22,0,71140,3,1,1,3,"SINGLE",25485,"HIGH"
"CU3971","MARTY","COLEMAN","MN","West","F","IT Staff","No",37,1,59502,1,1,1,4,"MARRIED",23575.5,"HIGH"
"CU10565","BERNARDO","WILSON","NY","NorthEast","M","Nurse","No",22,0,59200,0,0,0,2,"SINGLE",18000,"MEDIUM"
"CU2587","MITCHELL","KESSLER","NY","NorthEast","M","Clerical","No",30,0,64371,1,1,0,1,"SINGLE",17592.75,"MEDIUM"
"CU4668","EARL","LAY","CA","West","M","Waiter/Waitress","No",36,1,67267,0,1,0,2,"SINGLE",16416.75,"MEDIUM"
"CU14336","MARTINE","RIDDLE","NV","Southwest","F","PROF-12","No",69,0,79450,1,1,1,1,"MARRIED",35262.5,"VERY HIGH"
"CU6781","BOB","WOMACK","CA","West","M","Medical Doctor","No",58,1,63775,1,1,1,1,"MARRIED",25243.75,"HIGH"
"CU491","ELWOOD","MCLEOD","CA","West","M","Administrative Assistant","No",55,1,67265,0,1,1,2,"MARRIED",28316.25,"HIGH"
"CU1037","CALEB","SPIVEY","NY","NorthEast","M","Administrative Assistant","No",35,1,66039,0,1,2,2,"MARRIED",36009.75,"VERY HIGH"
"CU14713","STACY","ROMERO","NC","South","M","PROF-37","No",21,1,69428,3,1,2,3,"MARRIED",29957,"HIGH"
"CU11028","TERRANCE","BRANDON","CA","West","M","DBA","No",34,1,62350,0,1,1,2,"MARRIED",24987.5,"HIGH"
"CU10370","LANE","SAMUELS","NY","NorthEast","M","Mason","No",21,0,76050,3,1,1,3,"SINGLE",26612.5,"HIGH"
"CU10377","MAN","STARNES","NY","NorthEast","M","IT Staff","No",33,0,64032,3,1,1,3,"MARRIED",24808,"HIGH"
"CU6040","KRAIG","SINGER","CA","West","M","Professor","No",54,1,61290,0,1,1,2,"MARRIED",26722.5,"HIGH"
"CU2605","VAL","EARLY","NY","NorthEast","M","First-line Manager","No",26,1,59189,0,1,0,2,"SINGLE",13397.25,"LOW"
"CU13713","DIMPLE","OLEARY","NY","NorthEast","F","PROF-26","No",29,0,62356,1,1,1,1,"MARRIED",26989,"HIGH"
"CU9913","HARLEY","DORAN","FL","South","M","PROF-7","No",29,0,68223,3,1,1,3,"MARRIED",25455.75,"HIGH"
"CU790","MYRON","SNIDER","NY","NorthEast","M","Clerical","No",80,1,62391,3,1,0,4,"SINGLE",14597.75,"MEDIUM"
"CU1531","VAL","MATTSON","NY","NorthEast","M","Truck Driver","No",34,1,62765,0,1,0,2,"SINGLE",15091.25,"MEDIUM"
"CU6957","DELMER","HEALY","MI","Midwest","M","Nurse","No",31,1,69550,0,1,0,2,"SINGLE",16487.5,"MEDIUM"
"CU10308","JESSIKA","ANDERSON","NY","NorthEast","F","PROF-24","No",42,1,69376,1,1,1,1,"DIVORCED",25044,"HIGH"
"CU2714","ALTHA","MAYO","AK","West","F","Medical Doctor","No",31,1,63974,1,1,1,1,"MARRIED",22593.5,"HIGH"
"CU13730","CLIFTON","CAIN","MI","Midwest","M","Programmer/Developer","No",21,0,60685,3,0,0,3,"SINGLE",12771.25,"LOW"
"CU1141","BARBARA","DOUGHERTY","NY","NorthEast","F","Waiter/Waitress","No",69,0,70805,1,1,2,1,"DIVORCED",43101.25,"VERY HIGH"
"CU6623","EMERSON","BELTRAN","NY","NorthEast","M","School Teacher","No",49,1,69702,0,1,0,2,"SINGLE",18325.5,"MEDIUM"
"CU10020","TRACEY","WHITNEY","NY","NorthEast","M","IT Staff","No",27,1,75571,1,1,1,1,"DIVORCED",25092.75,"HIGH"
"CU2703","MILLY","CRENSHAW","MI","Midwest","F","Not specified","No",40,1,63334,1,1,1,1,"DIVORCED",23333.5,"HIGH"
"CU885","NEAL","SALINAS","CA","West","M","Lab Technician","No",73,1,61102,1,1,1,1,"MARRIED",26075.5,"HIGH"
"CU3239","KEIKO","MABRY","CA","West","F","IT Staff","No",50,1,80956,1,1,1,1,"WIDOWED",28739,"HIGH"
"CU3441","GALE","RILEY","CA","West","M","School Teacher","No",46,0,61654,3,1,1,3,"MARRIED",25513.5,"HIGH"
"CU7412","BERRY","OAKLEY","CA","West","F","Software Engineer","No",55,0,58398,1,1,1,1,"WIDOWED",28599.5,"HIGH"
"CU3147","BERNIE","HILL","MI","Midwest","M","Nurse","No",43,0,71740,0,1,0,2,"SINGLE",23235,"HIGH"
"CU14708","JUDE","COOLEY","NY","NorthEast","M","Programmer/Developer","No",20,0,64194,3,1,1,3,"SINGLE",23548.5,"HIGH"
"CU3461","ANTONIA","SHEETS","NV","Southwest","M","PROF-38","No",40,1,70484,0,1,0,2,"SINGLE",17621,"MEDIUM"
"CU8520","DONOVAN","DURAN","CA","West","M","Cashier","No",43,1,68781,1,1,1,1,"MARRIED",24995.25,"HIGH"
"CU4009","HUEY","LILLY","CA","West","M","Mason","No",52,0,61029,0,1,0,2,"SINGLE",21457.25,"MEDIUM"
"CU3587","OCTAVIO","FENTON","MI","Midwest","M","Construction Laborer","No",43,0,68734,0,1,1,2,"MARRIED",32483.5,"VERY HIGH"
"CU6758","MASON","ALONZO","NY","NorthEast","M","Administrative Assistant","No",62,1,56578,0,1,1,2,"WIDOWED",26344.5,"HIGH"
"CU14746","ROMAN","LILES","NY","NorthEast","M","PROF-26","No",21,0,59885,3,1,1,3,"MARRIED",22571.25,"HIGH"
"CU13188","ABEL","RUBIO","NC","South","M","Programmer/Developer","No",19,1,63492,3,1,1,3,"SINGLE",18273,"MEDIUM"
"CU14965","MEGHANN","MATLOCK","CA","West","F","Cashier","No",34,0,62654,1,1,1,1,"DIVORCED",27563.5,"HIGH"
"CU15852","ALDEN","RICHMOND","CA","West","M","PROF-12","No",25,0,66813,3,1,1,3,"SINGLE",24703.25,"HIGH"
"CU6275","LESTER","FLETCHER","MI","Midwest","M","Not specified","No",50,0,61384,2,1,1,2,"MARRIED",27346,"HIGH"
"CU12404","REFUGIO","BURKS","CA","West","M","Nurse","No",31,0,58545,3,1,1,3,"SINGLE",23236.25,"HIGH"
"CU14487","RODNEY","DORAN","CA","West","M","Waiter/Waitress","No",28,0,71198,3,1,0,3,"SINGLE",16099.5,"MEDIUM"
"CU9791","ETHELENE","HYATT","DC","NorthEast","F","Cashier","No",55,0,59176,1,1,1,1,"MARRIED",28794,"HIGH"
"CU8696","LEESA","BRADSHAW","CA","West","F","Secretary","No",39,1,58644,1,1,1,1,"DIVORCED",22061,"HIGH"
"CU4715","DANA","HACKETT","CA","West","M","Waiter/Waitress","No",37,1,65744,3,1,1,3,"MARRIED",20636,"MEDIUM"
"CU4020","ALVIN","KENNEDY","NY","NorthEast","M","Administrative Assistant","No",48,1,64175,0,1,0,2,"SINGLE",16843.75,"MEDIUM"
"CU6365","KATTIE","LYLES","NC","South","F","Author","No",54,1,57293,6,1,2,4,"DIVORCED",24723.25,"HIGH"
"CU7974","BYRON","CLEVENGER","FL","South","M","Nurse","No",27,0,64028,3,1,1,3,"SINGLE",24207,"HIGH"
"CU5712","MARCUS","BLANTON","MI","Midwest","M","Software Engineer","No",69,1,67081,1,1,0,4,"SINGLE",18670.25,"MEDIUM"
"CU14018","CRISTIN","LOFTON","MO","Midwest","F","PROF-30","No",67,1,74018,5,1,1,5,"MARRIED",22704.5,"HIGH"
"CU11034","LESTER","ALLISON","NY","NorthEast","M","Accountant","No",28,0,67283,3,1,1,3,"SINGLE",25120.75,"HIGH"
"CU3197","ANGEL","PLATT","CA","West","M","PROF-24","No",41,0,69999,3,1,1,3,"DIVORCED",27099.75,"HIGH"
